,symbol,name,slug,logo,type,objectID,_highlightResult,popularity,tokenName,tagline,lastUpdated
0,A,Alpha Token,alpha-platform,https://messari.io/asset-images/498ed6b1-0e91-48ab-b292-2a61c5616cf0/128.png,asset,498ed6b1-0e91-48ab-b292-2a61c5616cf0,"{'symbol': {'value': '<b>A</b>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['a']}, 'name': {'value': 'Alpha Token', 'matchLevel': 'none', 'matchedWords': []}}",,,,
1,ADA,Cardano,cardano,https://messari.io/asset-images/362f0140-ecdd-4205-b8a0-36f0fd5d8167/128.png,asset,362f0140-ecdd-4205-b8a0-36f0fd5d8167,"{'symbol': {'value': '<b>A</b>DA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Cardano', 'matchLevel': 'none', 'matchedWords': []}}",63578.0,Ada,Layered blockchain for smart contract and dapp development,
2,AVAX,Avalanche,avalanche,https://messari.io/asset-images/2db6b38a-681a-4514-9d67-691e319597ee/128.png,asset,2db6b38a-681a-4514-9d67-691e319597ee,"{'symbol': {'value': '<b>A</b>VAX', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>valanche', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",14293.0,AVAX,Open-source platform for launching decentralized applications,
3,ALGO,Algorand,algorand,https://messari.io/asset-images/4fb0d41e-df35-4808-8222-b8077835c976/128.png,asset,4fb0d41e-df35-4808-8222-b8077835c976,"{'symbol': {'value': '<b>A</b>LGO', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lgorand', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",11375.0,Algos,"Scalable, secure and decentralized digital currency and transactions platform",
4,AAVE,Aave,aave,https://messari.io/asset-images/0472643b-1c7a-47a2-a45e-ec1e3e1269cd/128.png,asset,0472643b-1c7a-47a2-a45e-ec1e3e1269cd,"{'symbol': {'value': '<b>A</b>AVE', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ave', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",5197.0,Aave,A peer-to-peer lending platform on Ethereum,
5,AR,Arweave,arweave,https://messari.io/asset-images/06670a42-2bc8-448b-8fbe-759c940cb43f/128.png,asset,06670a42-2bc8-448b-8fbe-759c940cb43f,"{'symbol': {'value': '<b>A</b>R', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rweave', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",5046.0,AR.cash,Data storage protocol,
6,AUDIO,Audius,audius,https://messari.io/asset-images/26d83f67-2d5c-45de-a017-8240f095c760/128.png,asset,26d83f67-2d5c-45de-a017-8240f095c760,"{'symbol': {'value': '<b>A</b>UDIO', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>udius', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",4953.0,Audio,A Decentralized Protocol for Audio Content,
7,AMP,Amp,amp,https://messari.io/asset-images/ba42a5e9-b086-4b61-a062-eb2e924ae159/128.png,asset,ba42a5e9-b086-4b61-a062-eb2e924ae159,"{'symbol': {'value': '<b>A</b>MP', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>mp', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",3682.0,Amp ,New Collateral token for instant point-of-sale payments on the Flexa network,
8,ACH,Alchemy Pay,alchemy-pay,https://messari.io/asset-images/340cc950-1d4c-4668-b213-df179062fada/128.png,asset,340cc950-1d4c-4668-b213-df179062fada,"{'symbol': {'value': '<b>A</b>CH', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lchemy Pay', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",1835.0,ACH,,
9,ANC,Anchor Protocol,anchor-protocol,https://messari.io/asset-images/9ffa49de-9902-427f-a28c-87a7ee56b6fd/128.png,asset,9ffa49de-9902-427f-a28c-87a7ee56b6fd,"{'symbol': {'value': '<b>A</b>NC', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>nchor Protocol', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",1322.0,Anchor Token,Anchor Protocol's governance token,
