title,published,link
StockX strikes back at Nike in NFT lawsuit - Reuters,"Thu, 31 Mar 2022 17:13:00 GMT",https://www.reuters.com/legal/litigation/stockx-strikes-back-nike-nft-lawsuit-2022-03-31/
"Nike Dunk Low Disrupt 2 ""Just Do It"" Release - HYPEBEAST","Fri, 01 Apr 2022 08:23:22 GMT",https://hypebeast.com/2022/4/nike-dunk-low-disrupt-2-just-do-it-dv1491-101-release-info
"Ranking All of Union's Nike Collaborations, From Worst to Best - Complex","Thu, 31 Mar 2022 18:00:00 GMT",https://www.complex.com/sneakers/ranking-union-los-angeles-nike-air-jordan-collaborations/
Precious Stones And Snakeskins Accent The Nike Air Force 1 Low “Just Do It” - Sneaker News,"Thu, 31 Mar 2022 16:30:48 GMT",https://sneakernews.com/2022/03/31/nike-air-force-1-low-just-do-it-snakeskin-dv1492-101/
Nike Alternates Grey Shades On The Nike Air Max 95 - Sneaker News,"Thu, 31 Mar 2022 21:06:04 GMT",https://sneakernews.com/2022/03/31/nike-air-max-95-grey-two-tone-dx2657-002/
Kobe Bryant’s Signature Nike Sneakers Are Coming Back - GQ,"Tue, 29 Mar 2022 20:10:30 GMT",https://www.gq.com/story/kobe-bryant-nikes-new-deal
The Nike Kyrie Infinity Gets Groovy With Tie-Dye - Sneaker News,"Thu, 31 Mar 2022 22:01:43 GMT",https://sneakernews.com/2022/03/31/nike-kyrie-infinity-gs-photo-blue-black-psychic-purple-dm3894-410/
Nike SB Dunk High New York Mets DH7155-001 Release Date - HYPEBEAST,"Thu, 31 Mar 2022 15:51:27 GMT",https://hypebeast.com/2022/3/nike-sb-dunk-high-new-york-mets-dh7155001-release-date
What will the Astros Nike City Connect Jersey look like? - Climbing Tal's Hill,"Wed, 30 Mar 2022 18:21:00 GMT",https://climbingtalshill.com/2022/03/30/what-will-the-astros-nike-city-connect-jersey-look-like/
Nike To Pay $5 Million To Lontex Attorneys In Trademark Suit - SGB Media,"Thu, 31 Mar 2022 19:19:35 GMT",https://sgbonline.com/nike-to-pay-5-million-to-lontex-in-trademark-suit/
Off-White Nike Blazer Low Black DH7863-001 Release Info - HYPEBEAST,"Wed, 30 Mar 2022 13:00:54 GMT",https://hypebeast.com/2022/3/off-white-nike-blazer-low-black-white-dh7863-001-dh7863-100-release-date
"atmos x Nike Trend Capsule Collection, Release Date - Highsnobiety","Tue, 29 Mar 2022 19:24:03 GMT",https://www.highsnobiety.com/p/nike-atmos-collab-trend-vintage-clothing/
Nike Drops Free Sneakers by Drone to Promote the Air Max - Adweek,"Mon, 28 Mar 2022 19:10:23 GMT",https://www.adweek.com/commerce/nike-drops-free-sneakers-by-drone-air-max/
Where To Buy The sacai x Nike Blazer Low “Patent Pack” - Sneaker News,"Wed, 30 Mar 2022 19:02:21 GMT",https://sneakernews.com/2022/03/30/sacai-nike-blazer-black-white-patent-store-list/
The Ever-Popular Nike Vapormax Plus Is Flooded In Neon “Volt” - Sneaker News,"Thu, 31 Mar 2022 17:31:59 GMT",https://sneakernews.com/2022/03/31/nike-vapormax-plus-neon-volt-dx1784-300-release-date/
Nike Dunk Low Graffiti DM0108-001 Release Date - HYPEBEAST,"Wed, 30 Mar 2022 17:00:48 GMT",https://hypebeast.com/2022/3/nike-dunk-low-graffiti-dm0108-001-release-date
Nike Signs Major Expansion at Water's Edge in LA - Commercial Observer,"Tue, 29 Mar 2022 23:55:01 GMT",https://commercialobserver.com/2022/03/nike-los-angeles-major-expansion-office-lease-waters-edge-playa-vista/
"Nike Beat Expectations in Its Fiscal Q3, but 2 Charts Show Why There Could Be Trouble Ahead - The Motley Fool","Tue, 29 Mar 2022 15:07:00 GMT",https://www.fool.com/investing/2022/03/29/nike-beat-expectations-in-its-fiscal-q3-but-2-char/
Where To Buy The Nike Dunk Low “Halloween” - Sneaker News,"Wed, 30 Mar 2022 17:01:22 GMT",https://sneakernews.com/2022/03/30/nike-dunk-low-halloween-dd3357-100-store-list/
The Nike Air Force 1 Delivers Another “Sun Club” Colorway - Sneaker News,"Wed, 30 Mar 2022 15:43:35 GMT",https://sneakernews.com/2022/03/30/nike-air-force-1-sun-club-dm0117-800/
The Iconic “Linen” Colorway Appears On The Nike SB Ishod - Sneaker News,"Wed, 30 Mar 2022 19:31:40 GMT",https://sneakernews.com/2022/03/30/nike-sb-ishod-linen-dc7232-201/
"Nike Air Force 1 AF1 Carabiner Swoosh, Tongue Pocket Release Date - Highsnobiety","Thu, 31 Mar 2022 17:15:00 GMT",https://www.highsnobiety.com/p/nike-air-force-1-af1-carabiner-swoosh-cargo/
Nike Dresses Up The Air Huarache In Classic Spider-Man Colors - Sneaker News,"Wed, 30 Mar 2022 17:31:14 GMT",https://sneakernews.com/2022/03/30/nike-air-huarache-red-white-blue-dv2220-100/
The Nike Air Griffey Max 1 Shows Up In USA Colors - Sneaker News,"Mon, 28 Mar 2022 15:02:33 GMT",https://sneakernews.com/2022/03/28/nike-air-griffey-max-1-usa-release-date/
Nike Enlists Kids To Build 'Airtopia' In Roblox - The Drum,"Mon, 28 Mar 2022 16:36:48 GMT",https://www.thedrum.com/news/2022/03/28/nike-enlists-kids-build-airtopia-roblox
Sue Bird on Her Sneaker Game and Dressing for Herself | SLAM - SLAM Online,"Thu, 31 Mar 2022 18:49:01 GMT",https://www.slamonline.com/wslam/sue-bird-seattle-storm-kicks-women-history-month/
"Academy's Chief Merchant: Nike, Adidas Alliances 'Never Been Stronger' – Sourcing Journal - Sourcing Journal","Thu, 31 Mar 2022 12:00:41 GMT",https://sourcingjournal.com/topics/retail/academy-sports-outdoors-apparel-80-100-store-openings-q4-nike-adidas-336774/
Travis Scott’s Influence Is Seen On The Latest Nike Air Force 1 Low “Shroud” - Sneaker News,"Wed, 30 Mar 2022 15:03:56 GMT",https://sneakernews.com/2022/03/30/nike-air-force-1-low-shroud-dh7578-001-release-date/
Move to Zero Collections Spring Summer 2022 Official Images - Nike News,"Thu, 03 Mar 2022 08:00:00 GMT",https://news.nike.com/news/move-to-zero-spring-summer-2022-official-images
"Nike, Air Jordan, Adidas release dates: April top drops, price guide, Yeezy 350 V2 - DraftKings Nation","Thu, 31 Mar 2022 13:00:00 GMT",https://dknation.draftkings.com/23002442/nike-air-jordan-adidas-release-schedule-april-dates-price-guide-yeezy-union-off-white
Nike Fluff grinds old sneakers into new acoustic panels - Fast Company,"Thu, 24 Mar 2022 10:00:24 GMT",https://www.fastcompany.com/90734352/nike-shoes-didnt-just-inspire-these-acoustic-panels-they-are-the-panels
"Erling Haaland leaves Nike, signs deal with Adidas - AS USA","Thu, 31 Mar 2022 18:52:27 GMT",https://en.as.com/en/2022/03/31/soccer/1648751167_275009.html
You can still bag Ryan Reynolds' rare Nike x Off-White Blazers - British GQ,"Tue, 29 Mar 2022 13:00:36 GMT",https://www.gq-magazine.co.uk/fashion/article/ryan-reynolds-nike-trainers
"Nike Grows LA Footprint in Building With Ocean Views, Soccer Field - CoStar Group","Thu, 31 Mar 2022 21:27:45 GMT",https://www.costar.com/article/70053559/nike-grows-la-footprint-in-building-with-ocean-views-soccer-field
"Take an Official Look at the Nike Air Max Penny 1 ""Home"" Re-Release - HYPEBEAST","Tue, 29 Mar 2022 03:46:19 GMT",https://hypebeast.com/2022/3/nike-air-max-penny-1-home-re-release-official-look-release-info-dv0684-100
How to Work Out With the Nike Run Club App on Apple Watch - MUO - MakeUseOf,"Thu, 31 Mar 2022 13:00:00 GMT",https://www.makeuseof.com/nike-run-club-app-apple-watch/
Where are my Nikes? More customers complain about LaserShip - WSOC Charlotte,"Wed, 30 Mar 2022 22:00:00 GMT",https://www.wsoctv.com/news/local/where-are-my-nikes-more-customers-complain-about-lasership/VNNV4I3KG5HSTO5DDO6NNDNB6A/
