id,financialInstrument,asset_status,asset_value,background_color,confirmed_investment,confirmed_investment_shares,display_name,short_name,exited_date,home_image,investment_image,is_active,is_exited,media_description,modified,number_of_shares,offering_ends,offering_starts,order,pending_investment,pending_investment_shares,portal_image,progress_bar,receiptcard_image,sharecard_image,tertiary_color,ticker,trading,category,snapchat_deeplink_url
042cf290-fea9-4f5d-b28a-ebd40bed6c69,"{'id': 'd848ebc9-f69c-4058-9f50-0da41ac32aee', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2021-12-20T10:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2021-12-13T15:30:00+00:00'}}}",Post Only,69000,#000000,69690.0,13800,’79 ROLEX CORAL “STELLA” DIAL DAY-DATE,’79 Rolex Stella,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/042cf290-fea9-4f5d-b28a-ebd40bed6c69/146e63dda8ee4cc3a86a1792b11d4818.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/042cf290-fea9-4f5d-b28a-ebd40bed6c69/6ff2213ce9434b27ae8f39bbd3fa6512.png,True,False,"There are numerous theories as to the origin of the “Stella” dial's name. Some argue it is a reference to American artist Frank Stella, while others suggest it was named after the Latin word for “star.”",2022-03-31T16:30:05.808357-04:00,13800,2020-12-03T23:59:00-05:00,2020-10-05T16:40:00-04:00,1,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/042cf290-fea9-4f5d-b28a-ebd40bed6c69/80d8b6b9dffd4483b920c971ae53a128.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/042cf290-fea9-4f5d-b28a-ebd40bed6c69/e8d1a5fd26a24043bddd970778a23de8.png,,#fe2c08,#79STELLA,{},watches,
0b23fe71-a3ee-4891-9f4e-6559f348a394,"{'id': '76307504-8193-4479-80c8-438371ac7e9b', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-01-03T10:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2021-12-27T15:30:00+00:00'}}}",Post Only,54000,#000000,54540.0,1000,’14 DOMAINE DE LA ROMANEE-CONTI ASSORTMENT (12),'14 DRC,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/0b23fe71-a3ee-4891-9f4e-6559f348a394/c60e94fb63a6461392af1e237ef9acfa.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/0b23fe71-a3ee-4891-9f4e-6559f348a394/462631889c59471b807279b8b148b5f7.png,True,False,"A bottle of 1945 Romanée-Conti sold for $558,000 at Sotheby's in 2018, breaking the record for the most expensive bottle of wine ever sold.",2022-03-31T16:30:05.197874-04:00,1000,2020-09-14T23:59:00-04:00,2020-09-04T12:00:00-04:00,1,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/0b23fe71-a3ee-4891-9f4e-6559f348a394/0cf189a681254f4cb3d07100ce821d81.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/0b23fe71-a3ee-4891-9f4e-6559f348a394/3be8f50243c2494c9efa3633e6343c47.png,,#ab2626,#14DRC,{},wine-spirits,
2ee58c8b-6ac3-4d94-bb42-3ae303bd2096,"{'id': '112e7ec5-2346-4c1e-800b-a70f46f0117d', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-02-28T15:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2022-02-21T15:30:00+00:00'}}}",Post Only,118500,#000000,120455.25,2000,'95 BMW M3 LIGHTWEIGHT,'95 BMW M3,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/2ee58c8b-6ac3-4d94-bb42-3ae303bd2096/95da993c162c4eccb81155486d0964a8.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/2ee58c8b-6ac3-4d94-bb42-3ae303bd2096/91769dd75e544102b9f8a726adc5a4aa.png,True,False,"No need for any window-dressing on a once-in-a-generation vehicle: a race-ready piece of art in motion. For #95BL1, we let the car do the talking.",2022-03-31T16:30:06.262294-04:00,2000,2018-07-15T23:59:00-04:00,2018-06-01T20:00:00-04:00,1,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/2ee58c8b-6ac3-4d94-bb42-3ae303bd2096/683e753864f04efea7a190dedde51f55.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/2ee58c8b-6ac3-4d94-bb42-3ae303bd2096/6adf90806bfa434db371969ac214b64d.png,,#d7e0d5,#95BL1,{},cars,
d64d7d26-e25e-4311-aa94-77d89fbce6d5,"{'id': 'cc3c8b1c-e112-4d7e-a7d4-72209231ed20', 'status': 'AUTHORIZED', 'markets': {'secondaryMarket': {'status': 'DISABLED', 'sessionsFollowMarketHours': False, 'sessionsStart': '', 'disabled': '', 'sessionHours': {'dateClose': '', 'lastDateOpen': '', 'nextDateClose': '', 'nextDateOpen': '', 'dateOpen': '', 'lastDateClose': ''}, 'enabled': ''}}}",Coming Soon,1800000,#000000,0.0,0,’40 DC COMICS BATMAN #1 (CGC 8.0),BATMAN,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/d64d7d26-e25e-4311-aa94-77d89fbce6d5/1d8953aa3a45425d9447013ae500b264.png,,True,False,"One of the seven copies of Batman 1 graded above #BATMAN sold for $2.2M in January 2021, setting the record for the most valuable Batman comic book ever sold.",2022-03-22T16:23:42.806450-04:00,180000,2022-06-10T23:59:00-04:00,,1,863370.0,86337,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/d64d7d26-e25e-4311-aa94-77d89fbce6d5/57c15b87b7e74cc792eaa4307debfb6c.png,47.97,,,#d05143,#BATMAN,{},art,
dc1b45ff-0fb0-4716-a47d-0a05e5abb44e,"{'id': '2936067c-783f-424f-8dc1-7407a3678f2f', 'status': 'AUTHORIZED', 'markets': {'secondaryMarket': {'status': 'DISABLED', 'sessionsFollowMarketHours': False, 'sessionsStart': '', 'disabled': '', 'sessionHours': {'dateClose': '', 'lastDateOpen': '', 'nextDateClose': '', 'nextDateOpen': '', 'dateOpen': '', 'lastDateClose': ''}, 'enabled': ''}}}",Coming Soon,105000,#000000,0.0,0,OBAMA/LEBRON/KOBE AUTOGRAPHED PICK-UP GAME BASKETBALL,OBAMABALL,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/dc1b45ff-0fb0-4716-a47d-0a05e5abb44e/34402d00a4634415b9d0a8f793b38101.png,,True,False,"Soon after his election, Obama had the White House tennis court transformed into a hybrid court suitable for basketball.",2022-03-31T21:42:17.030517-04:00,10500,2022-06-30T23:59:00-04:00,2022-04-01T12:00:00-04:00,1,14420.0,1442,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/dc1b45ff-0fb0-4716-a47d-0a05e5abb44e/7e72269031e447f786a6b83e1e12539f.png,13.73,,,#84bce7,#OBAMABALL,{},history,
1d5135ca-b35e-434c-a0a4-2be7af968085,"{'id': 'dd62ca18-c7bc-4ee8-a180-66b0ca6fe2b3', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-01-03T10:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2021-12-27T15:30:00+00:00'}}}",Post Only,30000,#000000,30300.0,6000,’65 ROLEX 1601 DATEJUST (JOYERIA RIVIERA),'65 Rolex Riviera,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/1d5135ca-b35e-434c-a0a4-2be7af968085/123e4ba40b71409e95ca1b4c31cec429.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/1d5135ca-b35e-434c-a0a4-2be7af968085/75769db6a4fa4e568f5794ea72c7c2b6.png,True,False,"Joyeria Riviera was located on Galiano Boulevard, a hub of shops and department stores in Havana before the revolution.",2022-03-31T16:30:05.894123-04:00,6000,2021-07-12T23:59:00-04:00,2021-04-13T12:00:00-04:00,2,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/1d5135ca-b35e-434c-a0a4-2be7af968085/44aa5328a6f5424a9e5362c43b9970b4.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/1d5135ca-b35e-434c-a0a4-2be7af968085/86dc1b9661644779a3147fbfc58a6c92.png,,#c9d7e4,#RIVIERA,{},watches,
ffc053d9-6f57-4c76-bd51-9130e368bf56,"{'id': '4807c2da-cfd2-4d12-97db-76974bcc79fc', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-01-03T10:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2021-12-27T15:30:00+00:00'}}}",Post Only,25500,#000000,25755.0,5100,’13 DOMAINE LEROY VOSNE-ROMANEE LES BEAUX MONTS (12),2013 Domaine Leroy,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/ffc053d9-6f57-4c76-bd51-9130e368bf56/a4ceefaba6b742dd84875cfa3ed42caa.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/ffc053d9-6f57-4c76-bd51-9130e368bf56/d659f341530f4e338fe7eb0efde27dd9.png,True,False,"When asked how she manages to pack so much “intensity and energy” into her wines, Lalou Bize-Leroy responded: “It’s simple, I love my vines more than most people.”",2022-03-31T16:30:04.860551-04:00,5100,2021-02-09T23:59:00-05:00,2020-11-11T09:00:00-05:00,2,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/ffc053d9-6f57-4c76-bd51-9130e368bf56/9a6d6ea45cb04dea9379a38f4bfb4d34.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/ffc053d9-6f57-4c76-bd51-9130e368bf56/40bcdfcad72341c2a2a05345f56cb7b7.png,,#b00c2d,#13BEAUX,{},wine-spirits,
4fdcc0cf-caa8-4303-ae19-848bda48db73,"{'id': '80bdace5-40e8-4812-a9cc-bb0307275707', 'status': 'AUTHORIZED', 'markets': {'secondaryMarket': {'status': 'DISABLED', 'sessionsFollowMarketHours': False, 'sessionsStart': '', 'disabled': '', 'sessionHours': {'dateClose': '', 'lastDateOpen': '', 'nextDateClose': '', 'nextDateOpen': '', 'dateOpen': '', 'lastDateClose': ''}, 'enabled': ''}}}",Coming Soon,275000,#000000,0.0,0,GARY VEE: ORIGINAL VEEFRIENDS SKETCH (SHARING SQUIRREL),VEEFRIEND,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/4fdcc0cf-caa8-4303-ae19-848bda48db73/e6a50151da864e96b46315ab042d7af9.png,,True,False,"In under a year, the VeeFriends NFT collection has notched over $500M in sales volume.",2022-03-30T19:00:19.725561-04:00,27500,,,2,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/4fdcc0cf-caa8-4303-ae19-848bda48db73/73a7df77fc16404592453554c00c7800.png,0.0,,,#bd1f63,#VEEFRIEND,{},history,
afb2920c-e7bd-4c17-98ce-906029283f2f,"{'id': '95d583c5-e404-4230-accb-875b7128189e', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-01-18T10:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2022-01-10T15:30:00+00:00'}}}",Post Only,2000000,#000000,2000000.0,80000,DECLARATION OF INDEPENDENCE,DECLARATION,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/afb2920c-e7bd-4c17-98ce-906029283f2f/2f53569d49fc45ca813fd3d358f7afd8.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/afb2920c-e7bd-4c17-98ce-906029283f2f/ea043a219a4d4c4687716aa028eb72b3.png,True,False,Broadside copies of the Declaration were often read aloud to large crowds or pinned up in a town square to inform the local colonists of independence.,2022-03-31T16:30:05.364022-04:00,80000,2022-02-17T23:59:00-05:00,2021-11-19T12:00:00-05:00,2,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/afb2920c-e7bd-4c17-98ce-906029283f2f/82957cc4d7d54679a5f135e4d46229c9.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/afb2920c-e7bd-4c17-98ce-906029283f2f/5f31567143234dd28d017b5eac7555ff.png,,#aa963c,#1776,{},art,
60ff6b4b-47fc-4bbd-ad4e-199bcf9cbd77,"{'id': '706ba1f5-3e45-4efd-9a58-af2935fdb487', 'status': 'ISSUED', 'markets': {'secondaryMarket': {'status': 'CLOSED', 'sessionsFollowMarketHours': True, 'sessionsStart': '2022-02-28T15:30:00+00:00', 'disabled': '', 'sessionHours': {'dateClose': '2022-04-01T20:30:00+00:00', 'lastDateOpen': '2022-03-31T14:30:00+00:00', 'nextDateClose': '2022-04-04T20:30:00+00:00', 'nextDateOpen': '2022-04-04T14:30:00+00:00', 'dateOpen': '2022-04-01T14:30:00+00:00', 'lastDateClose': '2022-03-31T20:30:00+00:00'}, 'enabled': '2022-02-21T15:30:00+00:00'}}}",Post Only,425000,#000000,446037.5,2000,'55 PORSCHE 356 SPEEDSTER,'55 Porsche,,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/60ff6b4b-47fc-4bbd-ad4e-199bcf9cbd77/2ec8ffe499714f5fb02580eddb6f587e.png,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/60ff6b4b-47fc-4bbd-ad4e-199bcf9cbd77/deade8e9abc3424f98d46479bebadae1.png,True,False,Convertibles and the Florida coastline go together like… convertibles and the Florida coastline. This #55PS1 Palm Beach shoot puts us in a Sunshine State of mind!,2022-03-31T16:30:06.842383-04:00,2000,2018-06-01T18:00:00-04:00,2018-03-30T17:00:00-04:00,2,0.0,0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/60ff6b4b-47fc-4bbd-ad4e-199bcf9cbd77/25ff158387974694970a3ad2b0372c6c.png,100.0,https://s3.amazonaws.com/share-media-applications-production-rallyrd/asset/asset/60ff6b4b-47fc-4bbd-ad4e-199bcf9cbd77/7eda2eb1b477429f9bf49a62a60227c3.png,,#47bbf9,#55PS1,{},cars,
