title,published,link,content
Email List Of Decision Makers - Upwork,"Fri, 01 Apr 2022 12:25:26 +0000",https://www.upwork.com/jobs/Email-List-Decision-Makers_%7E01c2cf6f89ee5540ff?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'Email List Of Decision Makers<br /><br />\nWe are looking to build an email list of decision-makers in various fields of expertise. Company URL - https://cutt.ly/0Az7Ghn The Preferred way is to scrape emails from websites that have pages <br />\ndedicated to senior executives. However, every other method of capturing emails of executives is welcomed.<br /><br /><br /><b>Hourly Range</b>: $15.00-$35.00\n\n<br /><b>Posted On</b>: April 01, 2022 12:25 UTC<br /><b>Category</b>: General Research Services<br /><b>Skills</b>:Email Marketing,     Lead Generation,     Microsoft Excel,     Data Mining,     Contact List,     Email Communication,     Data Scraping    \n<br /><b>Skills</b>:        Email Marketing,                     Lead Generation,                     Microsoft Excel,                     Data Mining,                     Contact List,                     Email Communication,                     Data Scraping            <br /><b>Country</b>: Germany\n<br /><a href=""https://www.upwork.com/jobs/Email-List-Decision-Makers_%7E01c2cf6f89ee5540ff?source=rss"">click to apply</a>'}]"
Excel Work - Upwork,"Fri, 01 Apr 2022 11:58:10 +0000",https://www.upwork.com/jobs/Excel-Work_%7E0163330c83d8f99a45?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'Extract and arrange some alphanumeric data from Web pages and enter it into Excel<br />\nData Entry, Data Processing, Excel, Visual Basic, Web Scraping<br />\n15USD/Hr - 25USD/Hr<br /><br /><br /><br /><b>Posted On</b>: April 01, 2022 11:58 UTC<br /><b>Category</b>: Data Entry<br /><b>Skills</b>:Microsoft Excel,     Data Entry,     Visual Basic for Applications,     Virtual Assistant,     Researcher,     File Management,     Scheduling    \n<br /><b>Skills</b>:        Microsoft Excel,                     Data Entry,                     Visual Basic for Applications,                     Virtual Assistant,                     Researcher,                     File Management,                     Scheduling            <br /><b>Country</b>: India\n<br /><a href=""https://www.upwork.com/jobs/Excel-Work_%7E0163330c83d8f99a45?source=rss"">click to apply</a>'}]"
Data mining  - Upwork,"Fri, 01 Apr 2022 11:57:25 +0000",https://www.upwork.com/jobs/Data-mining_%7E01d5a608302ebb75c0?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'I need a good freelancer who is good in typewriting and data mining and can process other company related documents accurately,within a specific period/time.<br /><br /><b>Budget</b>: $500\n<br /><b>Posted On</b>: April 01, 2022 11:57 UTC<br /><b>Category</b>: Data Mining<br /><b>Skills</b>:Data Mining,     Data Scraping,     Data Entry,     Microsoft Excel,     Researcher    \n<br /><b>Skills</b>:        Data Mining,                     Data Scraping,                     Data Entry,                     Microsoft Excel,                     Researcher            <br /><b>Country</b>: Finland\n<br /><a href=""https://www.upwork.com/jobs/Data-mining_%7E01d5a608302ebb75c0?source=rss"">click to apply</a>'}]"
Extract data from PDF files and arrange it in excel - Upwork,"Fri, 01 Apr 2022 11:36:29 +0000",https://www.upwork.com/jobs/Extract-data-from-PDF-files-and-arrange-excel_%7E016e91b29ff69a9fb8?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'You are required to extract data from given PDF files and enter in it Excel template which we&#039;ll provide you.<br /><br /><b>Budget</b>: $500\n<br /><b>Posted On</b>: April 01, 2022 11:36 UTC<br /><b>Category</b>: Data Extraction<br /><b>Skills</b>:Data Entry,     Data Extraction,     PDF Conversion,     Data Scraping,     Data Mining    \n<br /><b>Skills</b>:        Data Entry,                     Data Extraction,                     PDF Conversion,                     Data Scraping,                     Data Mining            <br /><b>Country</b>: United States\n<br /><a href=""https://www.upwork.com/jobs/Extract-data-from-PDF-files-and-arrange-excel_%7E016e91b29ff69a9fb8?source=rss"">click to apply</a>'}]"
Data Scraping with Chrome Extension - Upwork,"Fri, 01 Apr 2022 11:32:13 +0000",https://www.upwork.com/jobs/Data-Scraping-with-Chrome-Extension_%7E01794cdecb9ce07ff6?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'I would like to download a series of text files a web site. <br />\nNew files are added on a monthly basis<br /><br /><b>Hourly Range</b>: $9.00-$28.00\n\n<br /><b>Posted On</b>: April 01, 2022 11:32 UTC<br /><b>Category</b>: Data Extraction<br /><b>Skills</b>:Data Scraping,     Google Chrome Extension    \n<br /><b>Skills</b>:        Data Scraping,                     Google Chrome Extension            <br /><b>Country</b>: United States\n<br /><a href=""https://www.upwork.com/jobs/Data-Scraping-with-Chrome-Extension_%7E01794cdecb9ce07ff6?source=rss"">click to apply</a>'}]"
Scraping Data to JSON - Upwork,"Fri, 01 Apr 2022 11:32:00 +0000",https://www.upwork.com/jobs/Scraping-Data-JSON_%7E01257586ddee6e1f7f?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'This is a project to scrape all of the data for restaurants in the USA that offer delivery using their own delivery driver (not a service such as grub hub, uber eats, post mates, etc.)<br /><br />\nOutputting a JSON with the Company name, location, phone number, email if available, store hours if available, website if available, link to menu (pdf or site) and a stretch bonus if menu items can be scraped.<br /><br />\nGoogle has the ability using certain filters do to a lot of what is needed.&nbsp;&nbsp;Looking to get a list of delivery driver places that might need commercial insurance and comparing actuarial rates driven by menu pricing.<br /><br />\nThere will be a milestone payment of $60USD for showing results from the Dallas/Fort Worth, Texas area, then will receive the remainder for the remaining scraping.<br /><br /><br /><br /><b>Budget</b>: $200\n<br /><b>Posted On</b>: April 01, 2022 11:32 UTC<br /><b>Category</b>: Data Extraction<br /><b>Skills</b>:Data Scraping,     Data Extraction,     JSON    \n<br /><b>Skills</b>:        Data Scraping,                     Data Extraction,                     JSON            <br /><b>Country</b>: United States\n<br /><a href=""https://www.upwork.com/jobs/Scraping-Data-JSON_%7E01257586ddee6e1f7f?source=rss"">click to apply</a>'}]"
Python and algorith expert - Upwork,"Fri, 01 Apr 2022 11:21:57 +0000",https://www.upwork.com/jobs/Python-and-algorith-expert_%7E011d941d349041411e?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'I need to perform an audio/text alignment through an algorithm (using python package Aeneas).<br />\nTo better explain the work i can send you a paper and a github where you can also find an example of such algorithm which need to be adapted to our case.<br />\nLet me know if you can be interested.<br /><br />\nhere the paper with the description of the data processing. We need to do a similar work on a different dataset of texts and audios.<br /><br />\nI also send you the github link, where you can find the code to be readapted to our case. If you study the package Aeneas i think the work is quite straightforward<br /><br />\nhttps://github.com/Earnings-Call-Dataset/MAEC-A-Multimodal-Aligned-Earnings-Conference-Call-Dataset-for-Financial-Risk-Prediction<br /><br />\nyou can contact me on latinstar47 at g m a i l dot com <br /><br /><b>Budget</b>: $15\n<br /><b>Posted On</b>: April 01, 2022 11:21 UTC<br /><b>Category</b>: Scripting &amp; Automation<br /><b>Skills</b>:Python,     Data Science,     Data Scraping,     Machine Learning,     Data Analysis    \n<br /><b>Skills</b>:        Python,                     Data Science,                     Data Scraping,                     Machine Learning,                     Data Analysis            <br /><b>Country</b>: Pakistan\n<br /><a href=""https://www.upwork.com/jobs/Python-and-algorith-expert_%7E011d941d349041411e?source=rss"">click to apply</a>'}]"
Need LED display install &amp;repair companies LIST with contact information  in main cities of USA - Upwork,"Fri, 01 Apr 2022 11:16:26 +0000",https://www.upwork.com/jobs/Need-LED-display-install-amp-repair-companies-LIST-with-contact-information-main-cities-USA_%7E016d3bb10ca3e1ba98?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'We are a LED Display (LED screen) Manufacturer from China and export our products to USA.We are looking for the&nbsp;&nbsp;LED display installation &amp;amp; maintenance &amp;amp; repair companies in main cities of USA.Please see our products in attached photos.<br /><br />\nWe need LED display installation &amp;amp; maintenance &amp;amp; repair companies LIST with contact information in main cities of USA.We will contact them and choose some of them as our partners in their local cities.<br /><br />\nWe will consider you as our future researcher if this time we work well.Now we are in China and you can contact me anytime.<br /><br /><b>Budget</b>: $150\n<br /><b>Posted On</b>: April 01, 2022 11:16 UTC<br /><b>Category</b>: General Research Services<br /><b>Skills</b>:Information Literacy,     Contact List,     Data Scraping,     Microsoft Excel,     Market Research    \n<br /><b>Skills</b>:        Information Literacy,                     Contact List,                     Data Scraping,                     Microsoft Excel,                     Market Research            <br /><b>Country</b>: Hong Kong\n<br /><a href=""https://www.upwork.com/jobs/Need-LED-display-install-amp-repair-companies-LIST-with-contact-information-main-cities-USA_%7E016d3bb10ca3e1ba98?source=rss"">click to apply</a>'}]"
Web scrapping - Directory - Upwork,"Fri, 01 Apr 2022 11:16:03 +0000",https://www.upwork.com/jobs/Web-scrapping-Directory_%7E01f39fed262afa5dda?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'Hi there,<br /><br />\nCould you please scrape this directory ? https://cns.sanita.it/invoke/GEOBLOOD/GEOTER<br />\n2004 entries in total.<br /><br />\nThank you!<br /><br /><b>Budget</b>: $10\n<br /><b>Posted On</b>: April 01, 2022 11:16 UTC<br /><b>Category</b>: Data Extraction<br /><b>Skills</b>:Data Scraping    \n<br /><b>Skills</b>:        Data Scraping            <br /><b>Country</b>: Luxembourg\n<br /><a href=""https://www.upwork.com/jobs/Web-scrapping-Directory_%7E01f39fed262afa5dda?source=rss"">click to apply</a>'}]"
Gather Info About  10+ Hotels In London - Upwork,"Fri, 01 Apr 2022 11:15:27 +0000",https://www.upwork.com/jobs/Gather-Info-About-Hotels-London_%7E013a1609ab070f1ce2?source=rss,"[{'type': 'text/html', 'language': None, 'base': 'https://www.upwork.com/ab/feed/jobs/rss?q=scraping', 'value': 'Hey! I hope that you are well. So i need a info about 10+ Hotels in London. Check details about the work heree... https://bit.ly/35t6sv9&nbsp;&nbsp;<br /><br />\nAfter...you have checked then tell in proposal how much you will charge and time required to complete this job.&nbsp;&nbsp;<br /><br />\nReagrds<br /><br /><b>Budget</b>: $160\n<br /><b>Posted On</b>: April 01, 2022 11:15 UTC<br /><b>Category</b>: General Research Services<br /><b>Skills</b>:Data Entry,     Data Scraping,     Market Research,     Researcher,     List Building,     Lead Generation    \n<br /><b>Skills</b>:        Data Entry,                     Data Scraping,                     Market Research,                     Researcher,                     List Building,                     Lead Generation            <br /><b>Country</b>: Finland\n<br /><a href=""https://www.upwork.com/jobs/Gather-Info-About-Hotels-London_%7E013a1609ab070f1ce2?source=rss"">click to apply</a>'}]"
